,id_bacha,id_interno,name_interno,Unnamed: 3,precio_bacha,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
254,LD024.0027,4259,"PATO PURIFIC CANASTA LIQ FULL X 50ML ""MARINA"" (12UXB) **",21.0,170.5,45.0,247.23,0.0,0.0,223.0,$,,,CANASTAS PARA INODOROS,,EL BACHA,PATO PURIFIC,,,,,,,PATO PURIFIC CANASTA LIQUIDA
255,LD025.0040,4260,PATO PURIFIC CANASTA REP X 50ML LIQUIDA CITRUS **,21.0,0.0,0.0,206.0,0.0,0.0,0.0,$,,,CANASTAS PARA INODOROS,,EL BACHA,PATO PURIFIC,,,,,,,PATO PURIFIC CANASTA LIQUIDA
256,LD024.0040,4366,"PATO PURIFIC DISCO ACTIVO FULL X 36 ML ""MARINA""",21.0,262.9,45.0,381.21,0.0,0.0,345.0,$,,,CANASTAS PARA INODOROS,,EL BACHA,PATO PURIFIC,,,,,,,PATO PURIFIC DISCOS
257,LD025.0055,4486,"PATO PURIFIC DISCO ACTIVO REPUESTO X 36 ML ""CITRUS""",21.0,0.0,0.0,249.0,0.0,0.0,0.0,$,,,CANASTAS PARA INODOROS,,EL BACHA,PATO PURIFIC,,,,,,,PATO PURIFIC DISCOS
258,LD025.0056,4525,"PATO PURIFIC DISCO ACTIVO REPUESTO X 36 ML ""MARINA""",21.0,0.0,0.0,249.0,0.0,0.0,0.0,$,,,CANASTAS PARA INODOROS,,EL BACHA,PATO PURIFIC,,,,,,,PATO PURIFIC DISCOS
259,LD025.0057,4367,"PATO PURIFIC DISCO ACTIVO REPUESTO X 36 ML ""TROPICAL""",21.0,0.0,0.0,249.0,0.0,0.0,249.0,$,,,CANASTAS PARA INODOROS,,EL BACHA,PATO PURIFIC,,,,,,,PATO PURIFIC DISCOS
260,LL058.0115,4339,PINOLUZ LIMPIADOR LIQUIDO PISOS X 4 LTS **,21.0,317.9,45.0,460.96,0.0,0.0,445.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,PINOLUZ,,,,,,,PINOLUZ LIMPIADOR
261,LP061.0040,4267,PLUMERO AUTO LANA GRANDE **,21.0,0.0,0.0,350.0,0.0,0.0,0.0,$,,,PLUMEROS,,EL BACHA,NEOCLEAN,,,,,,,NEOCLEAN PLUMEROS
262,LD003.0082,4334,POETT AEROSOL X 360CC LAVANDA (6UXB) **,21.0,105.6,45.0,154.0,0.0,0.0,0.0,$,,,"AROMATIZACION, DESODORANTES Y PERFUMES AMBIENTALE",,EL BACHA,POETT,,,,,,,POETT AEROSOL
263,LD003.0085,4335,POETT AEROSOL X 360CC LOVE EVOLUTION (6UXB) **,21.0,105.6,45.0,154.0,0.0,0.0,0.0,$,,,"AROMATIZACION, DESODORANTES Y PERFUMES AMBIENTALE",,EL BACHA,POETT,,,,,,,POETT AEROSOL
